ID,PPDE,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
ENSG00000026751_SLAMF7,0.999697804,6.721769917,0.675656168,3.323483075,42.73789542,0,0,0,1.029661896,11.41349343,4.883687832,0,13.02845848,3.63939238,1.834192623,0,0
ENSG00000114737_CISH,0.999691763,9.394507221,14.8644357,6.346929484,6.323732984,4.151844142,9.055807531,0,3.088985687,6.163398516,0,0,13.16005907,0,1.834192623,0,0
ENSG00000177971_IMP3,0.999690657,34.56708932,22.47908072,38.77973914,43.21217539,21.23149298,9.629342008,23.8206824,32.94918066,14.56803286,14.57817263,8.321559074,26.32011814,15.34646775,14.67354098,17.38870939,12.64434882
ENSG00000003147_ICA1,0.999690246,8.455056499,2.702624673,2.307974358,5.269777487,37.36659727,38.48718201,36.61327109,46.33478531,54.91027769,17.00786807,85.08036589,13.16005907,81.94081047,9.170963114,120.3505227,18.96652323
ENSG00000138166_DUSP5,0.999689781,0.939450722,0.675656168,0,3.161866492,6.227766212,10.56510879,8.381351213,6.177971374,18.49019555,77.75025404,8.741133481,6.580029535,3.922698374,5.502577869,5.046957402,0
ENSG00000148429_USP6NL,0.999689223,0.479119868,21.72234581,1.754060512,4.215821989,0,3.297823243,0.445534986,5.261572287,28.05466943,19.75342392,4.213226338,6.580029535,2.153125552,0,0,12.70757056
ENSG00000171617_ENC1,0.999687101,4.697253611,0,16.73281409,3.161866492,0,0,0,2.059323791,0,0,11.07210241,0,0.435855375,0,0,6.322174409
ENSG00000137145_DENND4C,0.999685441,11.27340867,62.16036749,3.461961536,16.86328796,1.037961035,10.56510879,0,13.38560464,24.65359406,257.5477165,55.94325428,26.32011814,13.51151662,71.53351229,20.57993938,69.5439185
ENSG00000171865_RNASEH1,0.999682475,10.33395794,14.68200854,18.42340531,10.53955497,4.151844142,9.90856274,3.087866236,7.20763327,1.680926868,0,0,0,8.324837659,0,8.541004834,0
ENSG00000182247_UBE2E2,0.999681245,12.68258475,4.05393701,9.231897431,20.02515445,0.518980518,0,7.057979969,3.088985687,4.482471648,0,0,6.580029535,0,1.834192623,0,0
ENSG00000132388_UBE2G1,0.999679059,38.04775425,36.48543309,23.07974358,16.86328796,25.94902588,20.37556695,37.93664233,70.01700891,71.71954636,199.235026,106.6418285,52.64023628,47.94409123,111.88575,86.96295831,145.4100114
ENSG00000142207_URB1,0.999676367,14.16691689,46.56622312,0.576993589,13.70142147,0,0.852755209,3.665738346,2.059323791,25.79102124,94.78241907,5.244680089,13.16005907,6.537830623,11.00515574,12.8192718,6.322174409
ENSG00000110880_CORO1C,0.999665752,3.757802889,17.56706038,15.00183332,40.0503089,0,0,0,12.35594275,11.76648808,60.74238597,44.28840964,6.580029535,7.409541372,9.170963114,7.376322357,25.28869764
ENSG00000149418_ST14,0.999665181,0,0,5.769935894,13.70142147,0,0,0.882247496,0,0,114.1956856,9.323875713,0,1.307566125,14.67354098,8.541004834,37.93304645
